source,target,weight,sourceArea,sourceCategory,targetArea,targetCategory
1453,594,7,3,1,1,3
2390,594,5,1,3,4,4
2390,1464,1,3,1,4,4
1374,1770,4,3,3,4,5
2390,1770,1,4,4,4,5
277,680,8,0,1,1,1
2390,680,3,1,1,4,4
651,594,9,1,1,1,3
651,680,6,1,1,1,1
651,1772,2,1,1,4,5
1517,582,8,1,3,3,4
1517,1175,5,3,2,3,4
1517,1374,6,3,3,3,4
1517,2198,8,4,1,3,4
1058,582,3,1,3,2,1
1058,802,1,2,1,2,2
1058,976,1,2,3,2,1
1058,2198,4,4,1,2,1
1517,802,1,3,4,2,2
1517,976,1,2,3,3,4
688,1208,6,1,1,3,2
688,1374,10,3,3,1,1
1517,1068,5,2,1,3,4
1517,1208,6,3,4,3,2
651,1175,11,3,2,1,1
651,1386,4,3,3,1,1
1517,1386,3,3,3,3,4
1453,1175,14,3,2,3,1
1453,1208,3,3,1,3,2
605,582,27,1,3,1,3
605,1068,13,2,1,1,3
605,1208,7,1,3,3,2
605,1374,14,3,3,1,3
605,2198,25,4,1,1,3
582,1208,8,1,3,3,2
582,1477,1,1,3,3,1
1517,1477,1,3,4,3,1
1388,327,1,0,4,3,3
1388,346,1,0,4,3,3
1388,1381,1,3,3,3,3
1388,2160,1,4,3,3,3
2209,327,11,4,1,0,4
2209,346,16,4,1,0,4
582,1517,6,1,3,3,4
1271,277,1,0,1,3,5
1271,651,1,1,1,3,5
1271,1517,1,3,4,3,5
1271,2198,1,4,1,3,5
1246,582,2,1,3,3,5
1246,651,2,1,1,3,5
1246,1175,1,3,2,3,5
1246,1299,1,3,0,3,5
2199,651,6,4,1,1,1
2199,1175,14,3,2,4,1
2199,1299,7,3,0,4,1
975,582,21,1,3,2,3
975,986,9,2,3,2,3
975,1307,3,2,3,3,0
1246,986,1,2,3,3,5
1246,1307,1,3,5,3,0
1058,1299,2,3,0,2,1
1058,1516,3,3,4,2,1
2199,1516,8,3,4,4,1
1058,1056,2,2,1,2,1
1175,1056,2,3,2,2,1
1175,1299,2,3,2,3,0
1175,1516,2,3,2,3,4
1175,2198,3,4,1,3,2
1058,983,1,2,1,2,3
1453,983,1,3,1,2,3
582,1540,1,1,3,3,4
983,594,7,1,3,2,3
983,975,7,2,3,2,3
983,986,7,2,3,2,3
983,1068,7,2,1,2,3
983,1131,1,2,4,2,3
983,1540,1,2,3,3,4
983,2198,1,4,1,2,3
1777,594,13,4,5,1,3
1777,986,11,4,5,2,3
1777,1068,13,4,5,2,1
151,594,8,1,3,0,0
151,975,8,2,3,0,0
151,986,10,2,3,0,0
151,1068,11,2,1,0,0
610,199,2,1,3,0,3
610,582,5,1,3,1,3
610,912,4,2,0,1,3
610,1411,1,3,3,1,3
2198,199,3,4,1,0,3
2198,912,11,4,1,2,0
2198,1411,5,4,1,3,3
216,111,6,0,5,0,3
216,199,2,0,3,0,3
610,111,4,0,5,1,3
610,277,4,0,1,1,3
142,111,4,0,5,0,0
142,277,4,0,1,0,0
142,582,5,1,3,0,0
142,912,4,2,0,0,0
130,277,9,0,1,0,0
130,582,12,1,3,0,0
130,912,7,2,0,0,0
543,327,1,0,4,1,0
543,476,2,1,0,1,5
543,582,2,1,3,1,0
543,723,1,1,0,1,4
2209,476,3,4,1,1,5
2209,723,1,4,1,1,4
543,2068,1,4,3,1,0
543,2216,1,1,0,4,1
585,476,3,1,3,1,5
585,2068,3,1,3,4,3
585,2216,1,1,3,4,1
142,830,1,0,0,2,2
142,2198,2,4,1,0,0
2065,582,5,1,3,4,3
2065,830,1,4,3,2,2
2065,912,2,2,0,4,3
2065,2198,4,4,1,4,3
142,581,1,0,0,1,0
200,111,6,0,5,0,3
200,277,14,0,1,0,3
200,581,1,0,3,1,0
200,582,21,1,3,0,3
200,2198,12,4,1,0,3
1652,2043,2,4,2,4,3
2126,582,1,1,3,4,3
2126,677,1,1,1,4,3
2126,2043,1,4,3,4,3
2126,2068,1,4,3,4,3
1298,1175,4,3,2,3,0
1298,1299,2,3,0,3,0
1298,1345,1,3,0,3,0
1298,2198,4,4,1,3,0
2199,1345,1,3,0,4,1
1298,1777,2,4,5,3,0
1298,1924,1,4,0,3,0
1298,1067,1,3,0,2,1
1298,1270,2,3,5,3,0
1516,1067,4,3,4,2,1
1516,1175,13,3,2,3,4
1516,1270,7,3,5,3,4
1516,1299,7,3,0,3,4
582,1216,1,1,3,3,2
1298,1068,1,2,1,3,0
1298,1216,1,3,0,3,2
1175,1494,1,3,2,3,1
1516,1056,4,3,4,2,1
1516,1494,2,3,4,3,1
582,641,2,1,3,1,3
582,1411,6,1,3,3,3
1175,641,1,3,2,1,3
1175,1411,1,3,2,3,3
970,582,1,1,3,2,3
970,785,1,2,3,2,2
970,971,1,2,3,2,3
970,1073,1,2,3,2,1
970,1307,1,2,3,3,0
1069,582,3,1,3,2,1
1069,785,1,2,1,2,2
1069,971,1,2,1,2,3
1069,1073,1,2,1,2,1
1069,1307,1,2,1,3,0
912,327,1,0,4,2,0
912,999,1,2,0,2,3
912,1516,1,3,4,2,0
912,2198,1,4,1,2,0
272,200,1,0,3,0,1
272,346,1,0,4,0,1
272,1516,1,3,4,0,1
272,2198,1,4,1,0,1
208,140,1,0,3,0,0
208,582,3,1,3,0,3
208,1129,2,0,3,2,4
208,1763,2,4,2,0,3
975,140,1,2,3,0,0
975,1129,2,2,3,2,4
975,1763,15,2,3,4,2
208,165,2,0,3,0,0
327,165,3,0,4,0,0
327,582,10,1,3,0,4
327,1129,2,0,4,2,4
327,1763,6,0,4,4,2
208,130,1,0,0,0,3
208,151,1,0,3,0,0
216,151,3,0,3,0,0
216,165,3,0,3,0,0
582,1808,8,1,3,4,5
2075,651,1,1,1,4,3
2075,1808,1,4,3,4,5
2075,2068,1,4,3,4,3
2075,2209,1,4,1,4,3
1652,2311,1,4,2,4,1
1888,130,1,0,0,4,0
1888,582,1,1,3,4,0
1888,1577,1,4,2,4,0
1888,2311,1,4,0,4,1
1719,975,1,4,2,2,3
1389,582,2,1,3,3,3
1389,912,2,2,0,3,3
1389,1283,1,3,5,3,3
1389,1544,1,4,2,3,3
2209,912,9,4,1,2,0
1069,912,3,2,1,2,0
1069,1198,1,2,1,3,2
1069,1516,3,2,1,3,4
1389,1198,1,3,3,3,2
1389,1516,1,3,4,3,3
1270,346,1,3,5,0,4
1270,688,1,3,5,1,1
1270,975,1,3,5,2,3
1270,1341,1,3,5,3,0
1270,1374,1,3,3,3,5
604,401,2,1,2,1,3
604,582,10,1,3,1,3
604,2209,7,4,1,1,3
2263,277,3,0,1,4,1
2263,401,2,1,2,4,1
2263,582,3,1,3,4,1
2263,2209,3,4,1,4,1
594,277,11,1,3,0,1
594,582,23,1,3,1,3
594,2228,3,1,3,4,1
2263,2228,2,4,1,4,1
585,2049,4,4,3,1,3
585,2050,5,1,3,4,3
585,2228,3,4,1,1,3
2263,2049,2,4,3,4,1
2263,2050,2,4,3,4,1
2263,718,1,1,4,4,1
2263,1454,1,3,1,4,1
2051,507,1,4,3,1,0
2051,582,1,1,3,4,3
2051,1783,1,4,3,4,5
2051,1808,1,4,3,4,5
2051,1831,1,4,5,4,3
2051,2042,1,4,3,4,3
2209,507,5,4,1,1,0
2209,1783,1,4,1,4,5
2209,1808,6,4,1,4,5
2209,2042,2,4,1,4,3
1067,327,1,0,4,2,1
1067,594,1,1,3,2,1
1067,975,1,2,3,2,1
1067,2199,1,4,1,2,1
984,430,1,1,2,2,3
984,1068,2,2,1,2,3
984,1464,1,3,1,2,3
984,1473,1,2,3,3,1
1387,430,1,3,3,1,2
1387,1068,3,3,3,2,1
1387,1464,2,3,3,3,1
1387,1473,1,3,3,3,1
582,945,1,1,3,2,0
582,1201,2,1,3,3,2
984,718,1,1,4,2,3
984,945,1,2,3,2,0
984,1201,1,2,3,3,2
552,582,28,1,3,1,0
552,1777,27,4,5,1,0
688,1652,7,4,2,1,1
688,1777,10,4,5,1,1
552,277,11,0,1,1,0
604,1374,6,3,3,1,3
552,130,3,0,0,1,0
200,130,8,0,0,0,3
111,130,6,0,0,0,5
111,277,5,0,1,0,5
111,582,6,1,3,0,5
111,688,2,1,1,0,5
552,688,4,1,1,1,0
552,1453,4,3,1,1,0
1516,1453,7,3,1,3,4
2217,582,24,1,3,4,1
2217,1652,22,4,2,4,1
2217,1777,22,4,5,4,1
2217,2198,27,4,1,4,1
605,1777,16,4,5,1,3
552,689,1,1,0,1,1
718,277,5,1,4,0,1
718,689,2,1,4,1,1
718,2198,12,4,1,1,4
552,1771,3,1,0,4,5
594,1387,11,3,3,1,3
594,1771,4,1,3,4,5
594,2198,16,4,1,1,3
2217,688,4,1,1,4,1
2217,1387,13,3,3,4,1
552,1174,1,1,0,3,2
1455,277,5,0,1,3,1
1455,1174,1,3,1,3,2
1455,1453,5,3,1,3,1
605,277,13,1,3,0,1
605,1453,6,3,1,1,3
605,1771,3,1,3,4,5
495,2050,3,4,3,1,5
2199,975,8,4,1,2,3
2199,2050,5,4,1,4,3
495,130,5,0,0,1,5
495,709,1,1,5,1,1
1652,709,3,4,2,1,1
1652,1454,5,4,2,3,1
495,594,6,1,3,1,5
200,2050,3,0,3,4,3
44,130,1,0,0,0,2
44,975,4,2,3,0,2
44,1479,2,3,1,0,2
44,2198,4,4,1,0,2
495,1479,2,3,1,1,5
277,2185,2,0,1,4,3
495,2185,2,1,5,4,3
495,2041,3,4,3,1,5
1777,2041,3,4,5,4,3
582,2185,2,1,3,4,3
165,199,1,0,3,0,0
165,346,2,0,4,0,0
165,1324,2,3,0,0,0
165,1763,2,4,2,0,0
2198,346,15,4,1,0,4
2198,1324,16,4,1,3,0
2198,1763,11,4,1,4,2
165,200,1,0,3,0,0
165,975,1,2,3,0,0
165,1479,1,3,1,0,0
1381,430,1,3,3,1,2
1381,912,2,3,3,2,0
1381,1175,2,3,3,3,2
1381,1516,2,3,3,3,4
2198,1175,12,4,1,3,2
1381,1374,1,3,3,3,3
1324,430,1,3,0,1,2
1324,1770,2,3,0,4,5
2198,1770,4,4,1,4,5
1324,2067,2,3,0,4,3
1516,2067,2,3,4,4,3
1455,1175,8,3,2,3,1
605,1381,8,3,3,1,3
1324,1195,1,3,0,3,2
1453,1195,1,3,1,3,2
1324,1131,1,3,0,2,4
2209,1770,4,4,1,4,5
2209,2067,3,4,1,4,3
507,474,1,1,0,1,5
507,1882,1,1,0,4,0
507,2198,1,4,1,1,0
507,2340,1,1,0,4,4
585,474,1,1,3,1,5
585,1882,2,1,3,4,0
585,2198,13,4,1,1,3
585,2340,1,1,3,4,4
56,200,1,0,3,0,2
56,327,2,0,4,0,2
56,718,1,1,4,0,2
56,2207,2,0,2,4,1
582,2207,4,1,3,4,1
56,151,1,0,0,0,2
56,199,1,0,3,0,2
56,201,2,0,3,0,2
56,278,2,0,2,0,1
216,201,7,0,3,0,3
216,278,2,0,3,0,1
130,278,2,0,0,0,1
